"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","sum_MATHbelow","mean_ESCS","mean_ESCS_std","Y_MATH","Y_BIN_MATH"
800004,"Albania","public",9.7619,205,11,-1.15295833333333,-0.268233605481505,5,1
800006,"Albania","public",18,315,15,-1.34374736842105,-0.565594969012998,5,1
800007,"Albania","public",4.7368,45,2,-2.40196666666667,-2.21492210826384,4,1
800008,"Albania","private",13.8125,221,6,-0.1359,1.31694057736405,3,1
800009,"Albania","public",16.9691,823,19,-0.560240476190476,0.65556890816101,2,0
800010,"Albania","private",16.32,408,7,-0.134528571428571,1.31907806849293,2,0
800012,"Albania","public",12.2222,275,5,-1.50137142857143,-0.811265824416905,2,0
800015,"Albania","public",12.2308,318,4,-1.02553333333333,-0.0696306211402962,1,0
800016,"Albania","public",6.7143,47,1,-2.1507,-1.82330107734002,2,0
800017,"Albania","private",8,100,15,-0.768038095238095,0.331698181993816,15,1
800018,"Albania","public",19.1803,1170,18,-0.328058333333333,1.01744504300241,2,0
800024,"Albania","private",11.8209,396,21,-0.367559523809524,0.955878989923328,5,1
800025,"Albania","public",8.7797,259,32,-1.08963095238095,-0.169532354960371,12,1
800026,"Albania","public",7.1818,79,0,-1.0379,-0.0889051505211318,0,0
800031,"Albania","public",18.2516,1451,38,-0.843658974358974,0.213836441582497,3,1
800035,"Albania","public",11.68,292,7,-0.820427272727273,0.250045076272553,2,0
800037,"Albania","public",22.7239,1852,10,-0.54310625,0.682274095179302,1,0
800048,"Albania","public",10.625,170,1,-2.8823,-2.96356353246286,1,0
800051,"Albania","public",18.7407,506,4,-1.66488,-1.06610820425667,1,0
800059,"Albania","private",11.1538,145,3,-0.513633333333333,0.728210208243769,2,0
800062,"Albania","public",14.0313,898,25,-0.746441463414634,0.365358417676435,3,1
800066,"Albania","public",10.5789,201,18,-1.19191785714286,-0.328955423783123,9,1
800078,"Albania","private",10.4516,162,12,-0.873785714285714,0.166881287900551,7,1
800080,"Albania","public",7.2,72,3,-1.86333333333333,-1.37541504555516,4,1
800081,"Albania","private",15.3725,784,12,-0.276905405405405,1.09717134588079,2,0
800084,"Albania","public",19.566,1037,28,-0.993313157894737,-0.0194126654949948,3,1
800085,"Albania","private",9.9524,209,16,-1.05654,-0.117957217447717,8,1
800086,"Albania","private",7.75,155,8,0.0858214285714286,1.66251277596466,5,1
800090,"Albania","public",4.6571,163,30,-1.33087317073171,-0.545529408235265,18,1
800091,"Albania","public",7,98,6,-2.06347142857143,-1.68734773533072,6,1
800095,"Albania","private",8.0206,389,9,0.733,2.67119706623261,2,0
800096,"Albania","private",5.9259,80,3,-0.10955,1.35800935223077,4,1
800099,"Albania","public",14.8571,572,20,-1.35846071428571,-0.588527002745517,3,1
800100,"Albania","public",1,42,26,-0.754607142857143,0.352631493552786,62,1
800103,"Albania","public",12.4848,206,27,-1.20319285714286,-0.346528495381689,13,1
800105,"Albania","public",7,98,6,-1.17808333333333,-0.307393110928418,6,1
800107,"Albania","public",13.7083,329,5,-1.16728333333333,-0.29056036828855,2,0
800108,"Albania","public",7.5,90,2,-1.8026,-1.2807568446606,2,0
800112,"Albania","public",16.1481,436,9,-1.29055454545455,-0.482689311671959,2,0
800116,"Albania","public",18.4,460,11,-0.161915789473684,1.27639269877299,2,0
800118,"Albania","public",32.2414,1870,16,-1.26226956521739,-0.438604701217724,1,0
800119,"Albania","public",13.8,345,4,-0.36974,0.952480527465305,1,0
800121,"Albania","public",7.9333,119,2,-1.36475,-0.598329403469328,2,0
800125,"Albania","public",10.3448,150,6,-0.918033333333333,0.0979175116176387,4,1
800128,"Albania","public",5.4343,807,25,-0.0749951219512195,1.41186614567031,3,1
800131,"Albania","public",14.8214,415,7,-0.66179,0.497295111912236,2,0
800132,"Albania","public",14.4571,253,8,-0.40521,0.897197436591594,3,1
800133,"Albania","public",12.7273,210,10,-1.82968,-1.32296338824279,5,1
800134,"Albania","private",9.2593,125,11,0.504838461538462,2.31558739426602,9,1
800135,"Albania","public",16.4516,510,12,-0.1786,1.25038890044532,2,0
800145,"Albania","public",18.5,666,13,-0.699873913043478,0.437938009414093,2,0
800148,"Albania","public",16.9385,1101,31,-1.17684047619048,-0.305456009592877,3,1
800149,"Albania","public",7.5,45,2,-1.62296666666667,-1.00078261599936,4,1
800150,"Albania","public",8.7273,96,2,-2.61446666666667,-2.54612190557603,2,0
800158,"Albania","public",14.7857,414,8,-0.570833333333333,0.639059015743733,2,0
800163,"Albania","public",11.381,239,6,-1.16674444444444,-0.289720462920203,3,1
800165,"Albania","public",16.7576,553,17,-1.3139,-0.519075240206621,3,1
800168,"Albania","private",12,300,6,-0.432281818181818,0.855003645087167,2,0
800169,"Albania","private",19.381,407,16,0.428407317073171,2.19646278459429,4,1
800170,"Albania","public",12.0333,361,25,-0.340588095238095,0.99791631545781,7,1
800171,"Albania","public",13.8235,470,41,-1.1123,-0.204864044262438,9,1
800173,"Albania","public",17.0294,579,31,-0.60752619047619,0.58186999528011,5,1
800174,"Albania","public",11.5333,173,14,-1.39836875,-0.65072715963822,8,1
800175,"Albania","public",10.6087,122,14,-1.41096923076923,-0.67036610870554,11,1
800176,"Albania","public",23.3012,967,14,-0.0100307692307692,1.51311875956929,1,0
800181,"Albania","public",6.6,66,1,-2.05585,-1.67546907369267,2,0
800183,"Albania","public",18.587,855,19,-0.752826086956522,0.35540742462708,2,0
800187,"Albania","public",16.0385,417,32,-1.04314390243902,-0.0970782301678602,8,1
800189,"Albania","public",11,198,17,-1.55713913043478,-0.898184655257892,9,1
800190,"Albania","public",13.75,165,4,-1.63438333333333,-1.0185764874628,2,0
800191,"Albania","public",16.8791,768,34,-0.7156425,0.413361290336917,4,1
800193,"Albania","public",14.2069,412,12,-0.87089375,0.171388666654728,3,1
800199,"Albania","public",8.3529,284,7,-1.60744,-0.97658295080908,2,0
800201,"Albania","public",16.0588,819,37,-0.987919047619048,-0.0110054738244634,5,1
800205,"Albania","public",5.7895,165,1,-1.109925,-0.201162399468948,1,0
800206,"Albania","public",23.2903,1444,32,-1.02528918918919,-0.0692501011823884,2,0
800209,"Albania","public",16.4286,690,12,-0.87427619047619,0.166116837948211,2,0
800211,"Albania","public",16.8657,1130,38,-0.916170731707317,0.100820538822391,3,1
800212,"Albania","public",13.3636,294,30,-1.44012619047619,-0.715809775271116,10,1
800219,"Albania","public",7.7381,325,12,-1.00358823529412,-0.035427270445781,4,1
800222,"Albania","public",15.75,315,6,-1.30765,-0.509334069697439,2,0
800226,"Albania","public",9.1667,110,18,-0.997757894736842,-0.0263401758065774,16,1
800229,"Albania","public",5.3846,105,4,-1.21719,-0.368344264215738,4,1
800231,"Albania","public",20.1237,976,32,-0.876495238095238,0.162658258552189,3,1
800237,"Albania","public",8.7857,123,3,-1.83824,-1.33630489537216,2,0
800238,"Albania","public",14.05,281,8,-1.0594375,-0.122473224095774,3,1
800239,"Albania","public",11.375,182,4,-1.84776,-1.35114264629175,2,0
800240,"Albania","public",2.1429,45,6,-0.621985714285714,0.559333565374486,13,1
800241,"Albania","public",22.2857,468,3,-1.10518333333333,-0.193772098109316,1,0
800242,"Albania","public",15.303,505,20,-1.46112727272727,-0.748541794964741,4,1
